ds;y
2021-03-05;228
2021-03-06;55
2021-03-07;73
2021-03-08;236
2021-03-09;312
2021-03-10;284
2021-03-11;299
2021-03-12;308
2021-03-13;72
2021-03-14;54
2021-03-15;313
2021-03-16;266
2021-03-17;303
2021-03-18;282
2021-03-19;344
2021-03-20;79
2021-03-21;58
2021-03-22;331
2021-03-23;375
2021-03-24;254
2021-03-25;315
2021-03-26;313
2021-03-27;96
2021-03-28;86
2021-03-29;305
2021-03-30;350
2021-03-31;294
2021-04-01;186
2021-04-02;68
2021-04-03;50
2021-04-04;35
2021-04-05;259
2021-04-06;320
2021-04-07;265
2021-04-08;342
2021-04-09;323
2021-04-10;82
2021-04-11;164
2021-04-12;212
2021-04-13;237
2021-04-14;262
2021-04-15;274
2021-04-16;257
2021-04-17;59
2021-04-18;57
2021-04-19;298
2021-04-20;242
2021-04-21;117
2021-04-22;270
2021-04-23;336
2021-04-24;115
2021-04-25;58
2021-04-26;307
2021-04-27;578
2021-04-28;355
2021-04-29;488
2021-04-30;428
2021-05-01;37
2021-05-02;62
2021-05-03;301
2021-05-04;270
2021-05-05;281
2021-05-06;318
2021-05-07;307
2021-05-08;41
2021-05-09;42
2021-05-10;273
2021-05-11;432
2021-05-12;239
2021-05-13;299
2021-05-14;250
2021-05-15;36
2021-05-16;48
2021-05-17;266
2021-05-18;286
2021-05-19;298
2021-05-20;296
2021-05-21;267
2021-05-22;55
2021-05-23;53
2021-05-24;243
2021-05-25;279
2021-05-26;277
2021-05-27;291
2021-05-28;5
2021-05-29;3
2021-05-30;3
2021-05-31;344
2021-06-01;301
2021-06-02;348
2021-06-03;104
2021-06-04;248
2021-06-05;52
2021-06-06;65
2021-06-07;371
2021-06-08;310
2021-06-09;317
2021-06-10;252
2021-06-11;228
2021-06-12;50
2021-06-13;83
2021-06-14;249
2021-06-15;340
2021-06-16;306
2021-06-17;283
2021-06-18;294
2021-06-19;52
2021-06-20;85
2021-06-21;217
2021-06-22;270
2021-06-23;288
2021-06-24;231
2021-06-25;239
2021-06-26;46
2021-06-27;51
2021-06-28;289
2021-06-29;357
2021-06-30;309
2021-07-01;289
2021-07-02;239
2021-07-03;31
2021-07-04;43
2021-07-05;293
2021-07-06;357
2021-07-07;310
2021-07-08;263
2021-07-09;251
2021-07-10;57
2021-07-11;54
2021-07-12;283
2021-07-13;259
2021-07-14;330
2021-07-15;294
2021-07-16;287
2021-07-17;51
2021-07-18;34
2021-07-19;280
2021-07-20;345
2021-07-21;332
2021-07-22;171
2021-07-23;308
2021-07-24;49
2021-07-25;50
2021-07-26;341
2021-07-27;342
2021-07-28;313
2021-07-29;322
2021-07-30;267
2021-07-31;50
2021-08-01;43
2021-08-02;260
2021-08-03;280
2021-08-04;312
2021-08-05;290
2021-08-06;224
2021-08-07;34
2021-08-08;37
2021-08-09;292
2021-08-10;299
2021-08-11;288
2021-08-12;367
2021-08-13;247
2021-08-14;57
2021-08-15;40
2021-08-16;298
2021-08-17;355
2021-08-18;325
2021-08-19;310
2021-08-20;242
2021-08-21;54
2021-08-22;51
2021-08-23;309
2021-08-24;257
2021-08-25;338
2021-08-26;314
2021-08-27;302
2021-08-28;58
2021-08-29;70
2021-08-30;283
2021-08-31;375
2021-09-01;303
2021-09-02;292
2021-09-03;264
2021-09-04;64
2021-09-05;62
2021-09-06;244
2021-09-07;66
2021-09-08;291
2021-09-09;285
2021-09-10;239
2021-09-11;38
2021-09-12;64
2021-09-13;273
2021-09-14;274
2021-09-15;322
2021-09-16;304
2021-09-17;248
2021-09-18;49
2021-09-19;58
2021-09-20;302
2021-09-21;293
2021-09-22;433
2021-09-23;332
2021-09-24;266
2021-09-25;54
2021-09-26;95
2021-09-27;338
2021-09-28;348
2021-09-29;340
2021-09-30;411
2021-10-01;283
2021-10-02;45
2021-10-03;57
2021-10-04;260
2021-10-05;283
2021-10-06;289
2021-10-07;319
2021-10-08;312
2021-10-09;44
2021-10-10;138
2021-10-11;184
2021-10-12;57
2021-10-13;292
2021-10-14;317
2021-10-15;270
2021-10-16;47
2021-10-17;58
2021-10-18;348
2021-10-19;231
2021-10-20;377
2021-10-21;275
2021-10-22;290
2021-10-24;37
2021-10-25;363
2021-10-26;306
2021-10-27;301
2021-10-28;353
2021-10-29;349
2021-10-30;80
2021-10-31;48
2021-11-01;176
2021-11-02;73
2021-11-03;235
2021-11-04;262
2021-11-05;250
2021-11-06;81
2021-11-07;71
2021-11-08;331
2021-11-09;293
2021-11-10;266
2021-11-11;338
2021-11-12;260
2021-11-13;33
2021-11-14;43
2021-11-15;60
2021-11-16;304
2021-11-17;325
2021-11-18;330
2021-11-19;289
2021-11-20;51
2021-11-21;66
2021-11-22;276
2021-11-23;313
2021-11-24;123
2021-11-25;346
2021-11-26;323
2021-11-27;49
2021-11-28;47
2021-11-29;327
2021-11-30;413
2021-12-01;297
2021-12-02;276
2021-12-03;269
2021-12-04;64
2021-12-05;55
2021-12-06;302
2021-12-07;454
2021-12-08;258
2021-12-09;299
2021-12-10;461
2021-12-11;222
2021-12-12;57
2021-12-13;266
2021-12-14;305
2021-12-15;315
2021-12-16;357
2021-12-17;388
2021-12-18;60
2021-12-19;59
2021-12-20;291
2021-12-21;286
2021-12-22;266
2021-12-23;272
2021-12-24;147
2021-12-25;44
2021-12-26;65
2021-12-27;248
2021-12-28;198
2021-12-29;268
2021-12-30;199
2021-12-31;98
2022-01-01;19
2022-01-02;31
2022-01-03;118
2022-01-04;155
2022-01-05;197
2022-01-06;99
2022-01-07;141
2022-01-08;41
2022-01-09;32
2022-01-10;228
2022-01-11;253
2022-01-12;332
2022-01-13;195
2022-01-14;193
2022-01-15;44
2022-01-16;35
2022-01-17;251
2022-01-18;220
2022-01-19;260
2022-01-20;301
2022-01-21;192
2022-01-22;58
2022-01-23;39
2022-01-24;259
2022-01-25;226
2022-01-26;381
2022-01-27;335
2022-01-28;277
2022-01-29;64
2022-01-30;57
2022-01-31;413
2022-02-01;264
2022-02-02;283
2022-02-03;295
2022-02-04;230
2022-02-05;71
2022-02-06;69
2022-02-07;365
2022-02-08;363
2022-02-09;347
2022-02-10;433
2022-02-11;260
2022-02-12;107
2022-02-13;85
2022-02-14;497
2022-02-15;655
2022-02-16;579
2022-02-17;319
2022-02-18;320
2022-02-19;47
2022-02-20;51
2022-02-21;240
2022-02-22;288
2022-02-23;335
2022-02-24;376
2022-02-25;361
2022-02-26;62
2022-02-27;59
2022-02-28;70
2022-03-01;50
2022-03-02;209
2022-03-03;270
2022-03-04;315
2022-03-05;80
2022-03-06;51
2022-03-07;337
2022-03-08;337
2022-03-09;317
2022-03-10;353
2022-03-11;288
2022-03-12;68
2022-03-13;35
2022-03-14;329
2022-03-15;403
2022-03-16;321
2022-03-17;345
2022-03-18;471
2022-03-19;449
2022-03-20;87
2022-03-21;514
2022-03-22;424
2022-03-23;278
2022-03-24;458
2022-03-25;317
2022-03-26;87
2022-03-27;62
2022-03-28;572
2022-03-29;312
2022-03-30;358
2022-03-31;387
2022-04-01;253
2022-04-02;69
2022-04-03;62
2022-04-04;276
2022-04-05;283
2022-04-06;359
2022-04-07;308
2022-04-08;256
2022-04-09;81
2022-04-10;65
2022-04-11;306
2022-04-12;329
2022-04-13;371
2022-04-14;202
2022-04-15;100
2022-04-16;78
2022-04-17;29
2022-04-18;311
2022-04-19;286
2022-04-20;330
2022-04-21;148
2022-04-22;228
2022-04-23;68
2022-04-24;59
2022-04-25;305
2022-04-26;352
2022-04-27;501
2022-04-28;474
2022-04-29;475
2022-04-30;75
2022-05-01;55
2022-05-02;350
2022-05-03;362
2022-05-04;327
2022-05-05;346
2022-05-06;266
2022-05-07;71
2022-05-08;35
2022-05-09;364
2022-05-10;353
2022-05-11;438
2022-05-12;361
2022-05-13;302
2022-05-14;78
2022-05-15;96
2022-05-16;410
2022-05-17;387
2022-05-18;416
2022-05-19;451
2022-05-20;386
2022-05-21;146
2022-05-22;73
2022-05-23;495
2022-05-24;400
2022-05-25;479
2022-05-26;421
2022-05-27;355
2022-05-28;78
2022-05-29;53
2022-05-30;378
2022-05-31;418
2022-06-01;382
2022-06-02;344
2022-06-03;393
2022-06-04;102
2022-06-05;90
2022-06-06;411
2022-06-07;462
2022-06-08;442
2022-06-09;357
2022-06-10;317
2022-06-11;66
2022-06-12;58
2022-06-13;382
2022-06-14;2834
2022-06-15;1562
2022-06-16;120
2022-06-17;264
2022-06-18;45
2022-06-19;69
2022-06-20;338
2022-06-21;369
2022-06-22;413
2022-06-23;341
2022-06-24;264
2022-06-25;78
2022-06-26;40
2022-06-27;324
2022-06-28;336
2022-06-29;322
2022-06-30;335
2022-07-01;315
2022-07-02;82
2022-07-03;65
2022-07-04;319
2022-07-05;343
2022-07-06;323
2022-07-07;377
2022-07-08;291
2022-07-09;87
2022-07-10;47
2022-07-11;351
2022-07-12;480
2022-07-13;391
2022-07-14;318
2022-07-15;342
2022-07-16;24
2022-07-17;38
2022-07-18;395
2022-07-19;2817
2022-07-20;488
2022-07-21;398
2022-07-22;342
2022-07-23;55
2022-07-24;51
2022-07-25;374
2022-07-26;396
2022-07-27;362
2022-07-28;434
2022-07-29;332
2022-07-30;84
2022-07-31;108
2022-08-01;382
2022-08-02;387
2022-08-03;370
2022-08-04;322
2022-08-05;288
2022-08-06;57
2022-08-07;53
2022-08-08;327
2022-08-09;362
2022-08-10;279
2022-08-11;322
2022-08-12;254
2022-08-13;58
2022-08-14;35
2022-08-15;217
2022-08-16;378
2022-08-17;363
2022-08-18;341
2022-08-19;327
2022-08-20;49
2022-08-21;55
2022-08-22;337
2022-08-23;417
2022-08-24;410
2022-08-25;364
2022-08-26;352
2022-08-27;7
2022-08-28;7
2022-08-29;349
2022-08-30;363
2022-08-31;358
2022-09-01;293
2022-09-02;308
2022-09-03;46
2022-09-04;61
2022-09-05;661
2022-09-06;2913
2022-09-07;769
2022-09-08;1745
2022-09-09;810
2022-09-10;382
2022-09-11;521
2022-09-12;864
2022-09-13;571
2022-09-14;676
2022-09-15;2250
2022-09-16;1952
2022-09-17;100
2022-09-18;98
2022-09-19;2292
2022-09-20;1134
2022-09-21;1341
2022-09-22;394
2022-09-23;1339
2022-09-24;786
2022-09-25;86
2022-09-26;2119
2022-09-27;2803
2022-09-28;361
2022-09-29;364
2022-09-30;295
2022-10-01;759
2022-10-02;2338
2022-10-03;151
2022-10-04;319
2022-10-05;367
2022-10-06;2199
2022-10-07;1317
2022-10-08;270
2022-10-09;31
2022-10-10;212
2022-10-11;1359
2022-10-12;215
2022-10-13;465
2022-10-14;343
2022-10-15;60
2022-10-16;49
2022-10-17;343
2022-10-18;313
2022-10-19;437
2022-10-20;440
2022-10-21;326
2022-10-22;106
2022-10-23;78
2022-10-24;353
2022-10-25;409
2022-10-26;370
2022-10-27;370
2022-10-28;335
2022-10-29;62
2022-10-30;61
2022-10-31;408
2022-11-01;290
2022-11-02;98
2022-11-03;378
2022-11-04;261
2022-11-05;32
2022-11-06;102
2022-11-07;387
2022-11-08;323
2022-11-09;369
2022-11-10;342
2022-11-11;290
2022-11-12;110
2022-11-13;72
2022-11-14;230
2022-11-15;167
2022-11-16;344
2022-11-17;463
2022-11-18;387
2022-11-19;137
2022-11-20;134
2022-11-21;467
2022-11-22;417
2022-11-23;375
2022-11-24;906
2022-11-25;438
2022-11-26;111
2022-11-27;96
2022-11-28;281
2022-11-29;423
2022-11-30;390
2022-12-01;360
2022-12-02;230
2022-12-03;99
2022-12-04;101
2022-12-05;308
2022-12-06;362
2022-12-07;409
2022-12-08;362
2022-12-09;195
2022-12-10;134
2022-12-11;118
2022-12-12;422
2022-12-13;406
2022-12-14;893
2022-12-15;426
2022-12-16;407
2022-12-17;75
2022-12-18;78
2022-12-19;470
2022-12-20;321
2022-12-21;329
2022-12-22;335
2022-12-23;242
2022-12-24;33
2022-12-25;59
2022-12-26;261
2022-12-27;1
2022-12-28;161
2022-12-29;441
2022-12-30;314
2022-12-31;59
2023-01-01;20
2023-01-02;157
2023-01-03;190
2023-01-04;204
2023-01-05;217
2023-01-06;178
2023-01-07;53
2023-01-08;33
2023-01-09;228
2023-01-10;301
2023-01-11;290
2023-01-12;307
2023-01-13;253
2023-01-14;47
2023-01-15;44
2023-01-16;288
2023-01-17;294
2023-01-18;353
2023-01-19;396
2023-01-20;261
2023-01-21;52
2023-01-22;49
2023-01-23;281
2023-01-24;353
2023-01-25;373
2023-01-26;386
2023-01-27;275
2023-01-28;70
2023-01-29;47
2023-01-30;358
2023-01-31;403
2023-02-01;321
2023-02-02;359
2023-02-03;319
2023-02-04;76
2023-02-05;69
2023-02-06;327
2023-02-07;386
2023-02-08;370
2023-02-09;346
2023-02-10;345
2023-02-11;70
2023-02-12;53
2023-02-13;306
2023-02-14;507
2023-02-15;350
2023-02-16;395
2023-02-17;331
2023-02-18;60
2023-02-19;57
2023-02-20;62
2023-02-21;43
2023-02-22;178
2023-02-23;314
2023-02-24;340
2023-02-25;95
2023-02-26;73
2023-02-27;444
2023-02-28;496
2023-03-01;345
2023-03-02;361
2023-03-03;337
2023-03-04;79
2023-03-05;70
2023-03-06;442
2023-03-07;431
2023-03-08;415
2023-03-09;346
2023-03-10;385
2023-03-11;89
2023-03-12;56
2023-03-13;545
2023-03-14;442
2023-03-15;369
2023-03-16;358
2023-03-17;406
2023-03-18;63
2023-03-19;115
2023-03-20;436
2023-03-21;464
2023-03-22;376
2023-03-23;449
2023-03-24;363
2023-03-25;50
2023-03-26;171
2023-03-27;406
2023-03-28;481
2023-03-29;385
2023-03-30;411
2023-03-31;368
2023-04-01;92
2023-04-02;113
2023-04-03;403
2023-04-04;396
2023-04-05;382
2023-04-06;252
2023-04-07;87
2023-04-08;52
2023-04-09;86
2023-04-10;344
2023-04-11;393
2023-04-12;420
2023-04-13;432
2023-04-14;410
2023-04-15;119
2023-04-16;99
2023-04-17;389
2023-04-18;419
2023-04-19;399
2023-04-20;393
2023-04-21;27
2023-04-22;132
2023-04-23;87
2023-04-24;431
2023-04-25;494
2023-04-26;464
2023-04-27;456
2023-04-28;439
2023-04-29;89
2023-04-30;79
2023-05-01;99
2023-05-02;410
2023-05-03;406
2023-05-04;433
2023-05-05;343
2023-05-06;98
2023-05-07;74
2023-05-08;396
2023-05-09;456
2023-05-10;396
2023-05-11;435
2023-05-12;411
2023-05-13;92
2023-05-14;64
2023-05-15;431
2023-05-16;442
2023-05-17;495
2023-05-18;429
2023-05-19;455
2023-05-20;85
2023-05-21;68
2023-05-22;439
2023-05-23;424
2023-05-24;451
2023-05-25;413
2023-05-26;337
2023-05-27;105
2023-05-28;110
2023-05-29;472
2023-05-30;488
2023-05-31;506
2023-06-01;314
2023-06-02;341
2023-06-03;83
2023-06-04;93
2023-06-05;428
2023-06-06;404
2023-06-07;425
2023-06-08;142
2023-06-09;202
2023-06-10;113
2023-06-11;70
2023-06-12;405
2023-06-13;412
2023-06-14;401
2023-06-15;429
2023-06-16;337
2023-06-17;83
2023-06-18;78
2023-06-19;395
2023-06-20;473
2023-06-21;435
2023-06-22;460
2023-06-23;320
2023-06-24;66
2023-06-25;51
2023-06-26;430
2023-06-27;461
2023-06-28;422
2023-06-29;458
2023-06-30;328
2023-07-01;72
2023-07-02;75
2023-07-03;345
2023-07-04;367
2023-07-05;461
2023-07-06;435
2023-07-07;376
2023-07-08;55
2023-07-09;86
2023-07-10;449
2023-07-11;406
2023-07-12;399
2023-07-13;375
2023-07-14;382
2023-07-15;50
2023-07-16;36
2023-07-17;434
2023-07-18;535
2023-07-19;453
2023-07-20;426
2023-07-21;370
2023-07-22;59
2023-07-23;57
2023-07-24;459
2023-07-25;467
2023-07-26;467
2023-07-27;497
2023-07-28;450
2023-07-29;89
2023-07-30;103
2023-07-31;514
2023-08-01;434
2023-08-02;413
2023-08-03;351
2023-08-04;429
2023-08-05;77
2023-08-06;68
2023-08-07;406
2023-08-08;449
2023-08-09;442
2023-08-10;463
2023-08-11;367
2023-08-12;77
2023-08-13;60
2023-08-14;455
2023-08-15;393
2023-08-16;387
2023-08-17;451
2023-08-18;377
2023-08-19;84
2023-08-20;73
2023-08-21;431
2023-08-22;559
2023-08-23;507
2023-08-24;473
2023-08-25;429
2023-08-26;3
2023-08-28;532
2023-08-29;516
2023-08-30;620
2023-08-31;567
2023-09-01;399
2023-09-02;71
2023-09-03;97
2023-09-04;465
2023-09-05;541
2023-09-06;444
2023-09-07;74
2023-09-08;280
2023-09-09;134
2023-09-10;58
2023-09-11;441
2023-09-12;512
2023-09-13;473
2023-09-14;466
2023-09-15;469
2023-09-16;57
2023-09-17;65
2023-09-18;431
2023-09-19;478
2023-09-20;594
2023-09-21;464
2023-09-22;466
2023-09-23;108
2023-09-24;92
2023-09-25;565
2023-09-26;520
2023-09-27;538
2023-09-28;501
2023-09-29;433
2023-09-30;90
2023-10-01;124
2023-10-02;371
2023-10-03;161
2023-10-04;501
2023-10-05;450
2023-10-06;359
2023-10-07;81
2023-10-08;75
2023-10-09;560
2023-10-10;499
2023-10-11;494
2023-10-12;86
2023-10-13;285
2023-10-14;58
2023-10-15;68
2023-10-16;484
2023-10-17;511
2023-10-18;602
2023-10-19;506
2023-10-20;493
2023-10-21;1
2023-10-22;106
2023-10-23;491
2023-10-24;523
2023-10-25;492
2023-10-26;571
2023-10-27;507
2023-10-28;74
2023-10-29;86
2023-10-30;491
2023-10-31;547
2023-11-01;447
2023-11-04;6
2023-11-05;93
2023-11-06;565
2023-11-07;611
2023-11-08;491
2023-11-09;527
2023-11-10;459
2023-11-11;70
2023-11-12;76
2023-11-13;536
2023-11-14;498
2023-11-15;121
2023-11-16;483
2023-11-17;535
2023-11-18;80
2023-11-19;58
2023-11-20;436
2023-11-21;433
2023-11-22;554
2023-11-23;554
2023-11-24;501
2023-11-25;94
2023-11-26;50
2023-11-27;437
2023-11-28;552
2023-11-29;537
2023-11-30;579
2023-12-01;384
2023-12-02;79
2023-12-03;57
2023-12-04;415
2023-12-05;458
2023-12-06;502
2023-12-07;541
2023-12-08;314
2023-12-09;88
2023-12-10;70
2023-12-11;413
2023-12-12;528
2023-12-13;481
2023-12-14;423
2023-12-15;316
2023-12-16;54
2023-12-17;66
2023-12-18;505
2023-12-19;643
2023-12-20;432
2023-12-21;359
2023-12-22;260
2023-12-23;93
2023-12-24;91
2023-12-25;77
2023-12-26;292
2023-12-27;333
2023-12-28;439
2023-12-29;2
2023-12-30;2
2023-12-31;124
2024-01-01;51
2024-01-02;246
2024-01-03;213
2024-01-04;374
2024-01-05;254
2024-01-06;53
2024-01-07;43
2024-01-08;360
2024-01-09;341
2024-01-10;442
2024-01-11;452
2024-01-12;393
2024-01-13;71
2024-01-14;56
2024-01-15;388
2024-01-16;461
2024-01-17;510
2024-01-18;622
2024-01-19;359
2024-01-20;55
2024-01-21;65
2024-01-22;488
2024-01-23;436
2024-01-24;451
2024-01-25;519
2024-01-26;400
2024-01-27;65
2024-01-28;75
2024-01-29;464
2024-01-30;595
2024-01-31;502
2024-02-01;428
2024-02-02;432
2024-02-03;93
2024-02-04;55
2024-02-05;392
2024-02-06;474
2024-02-07;481
2024-02-08;489
2024-02-09;531
2024-02-10;86
2024-02-11;54
2024-02-12;69
2024-02-13;72
2024-02-14;176
2024-02-15;734
2024-02-16;1232
2024-02-17;86
2024-02-18;102
2024-02-19;821
2024-02-20;587
2024-02-21;530
2024-02-22;465
2024-02-23;455
2024-02-24;90
2024-02-25;65
2024-02-26;469
2024-02-27;565
2024-02-28;542
2024-02-29;556
2024-03-01;387
2024-03-02;132
2024-03-03;76
2024-03-04;632
2024-03-05;516
2024-03-06;587
2024-03-07;576
2024-03-08;359
2024-03-09;59
2024-03-10;102
2024-03-11;464
2024-03-12;515
2024-03-13;649
2024-03-14;665
2024-03-15;390
2024-03-16;107
2024-03-17;92
2024-03-18;823
2024-03-19;475
2024-03-20;465
2024-03-21;471
2024-03-22;492
2024-03-23;89
2024-03-24;134
2024-03-25;502
2024-03-26;506
2024-03-27;509
2024-03-28;294
2024-03-29;135
2024-03-30;74
2024-03-31;93
2024-04-01;373
2024-04-02;680
2024-04-03;474
2024-04-04;469
2024-04-05;440
2024-04-06;115
2024-04-07;95
2024-04-08;402
2024-04-09;449
2024-04-10;531
2024-04-11;400
2024-04-12;437
2024-04-13;96
2024-04-14;116
2024-04-15;479
2024-04-16;457
2024-04-17;479
2024-04-18;516
2024-04-19;451
2024-04-20;136
2024-04-21;90
2024-04-22;573
2024-04-23;425
2024-04-24;402
2024-04-25;485
2024-04-26;430
2024-04-27;116
2024-04-28;102
2024-04-29;493
2024-04-30;535
2024-05-01;125
2024-05-02;329
2024-05-03;320
2024-05-04;91
2024-05-05;51
2024-05-06;559
2024-05-07;383
